name;Implementing.Jurisdictions;Affected.Jurisdictions;comtrade;gta.name;ISO;UN;gta.id;G20;N10;EU.G20;EU27;EU28;euro.area;LDC;BACI;sacu;mercosur;CU
Palestinian;Palestinian;Palestinian;State of Palestine;State of Palestine;PSE;275;158;0;0;0;0;0;0;0;275;0;0;0
Suriname;Suriname;Suriname;Suriname;Suriname;SUR;740;199;0;0;0;0;0;0;0;740;0;0;0
Svalbard and Jan Mayen Islands;Svalbard and Jan Mayen Islands;Svalbard and Jan Mayen Islands;Svalbard and Jan Mayen Islands;Svalbard & Jan Mayen Islands;na;744;200;0;0;0;0;0;0;0;;0;0;0
Swaziland;Swaziland;Swaziland;Swaziland;Swaziland;SWZ;748;201;0;0;0;0;0;0;0;;1;0;0
Sweden;Sweden;Sweden;Sweden;Sweden;SWE;752;202;0;0;0;1;1;0;0;752;0;0;0
Switzerland;Switzerland;Switzerland;Switzerland;Switzerland;CHE;756;203;0;1;0;0;0;0;0;757;0;0;0
Syrian Arab Republic;Syrian Arab Republic;Syrian Arab Republic;Syria     ;Syria;SYR;760;204;0;0;0;0;0;0;0;760;0;0;0
na;na;na;Syria;Syria;SYR;760;204;0;0;0;0;0;0;0;760;0;0;0
Tajikistan;Tajikistan;Tajikistan;Tajikistan;Tajikistan;TJK;762;205;0;0;0;0;0;0;0;762;0;0;0
United Republic of Tanzania;United Republic of Tanzania;United Republic of Tanzania;United Rep. of Tanzania    ;Tanzania;TZA;834;221;0;0;0;0;0;0;1;834;0;0;0
na;na;na;United Rep. of Tanzania;Tanzania;TZA;834;221;0;0;0;0;0;0;1;834;0;0;0
Thailand;Thailand;Thailand;Thailand;Thailand;THA;764;206;0;1;0;0;0;0;0;764;0;0;0
Timor-Leste;Timor-Leste;Timor-Leste;Timor-Leste;Timor-Leste;na;626;207;0;0;0;0;0;0;1;626;0;0;0
Togo;Togo;Togo;Togo;Togo;TGO;768;208;0;0;0;0;0;0;1;768;0;0;0
Tokelau;Tokelau;Tokelau;Tokelau;Tokelau;TKL;772;209;0;0;0;0;0;0;0;772;0;0;0
Tonga;Tonga;Tonga;Tonga;Tonga;TON;776;210;0;0;0;0;0;0;0;776;0;0;0
Trinidad and Tobago;Trinidad and Tobago;Trinidad and Tobago;Trinidad and Tobago;Trinidad & Tobago;TTO;780;211;0;0;0;0;0;0;0;780;0;0;0
Tunisia;Tunisia;Tunisia;Tunisia;Tunisia;TUN;788;212;0;0;0;0;0;0;0;788;0;0;0
Turkey;Turkey;Turkey;Turkey;Turkey;TUR;792;213;1;0;0;0;0;0;0;792;0;0;0
Turkmenistan;Turkmenistan;Turkmenistan;Turkmenistan;Turkmenistan;TKM;795;214;0;0;0;0;0;0;0;795;0;0;0
Turks and Caicos Islands;Turks and Caicos Islands;Turks and Caicos Islands;Turks and Caicos Islands;Turks & Caicos Islands;na;796;215;0;0;0;0;0;0;0;796;0;0;0
na;na;na;Turks and Caicos Isds;Turks & Caicos Islands;na;796;215;0;0;0;0;0;0;0;796;0;0;0
Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;TUV;798;216;0;0;0;0;0;0;1;798;0;0;0
Uganda;Uganda;Uganda;Uganda;Uganda;UGA;800;217;0;0;0;0;0;0;1;800;0;0;0
Ukraine;Ukraine;Ukraine;Ukraine;Ukraine;UKR;804;218;0;0;0;0;0;0;0;804;0;0;0
United Arab Emirates;United Arab Emirates;United Arab Emirates;United Arab Emirates;United Arab Emirates;ARE;784;219;0;1;0;0;0;0;0;784;0;0;0
United Kingdom of Great Britain and Northern Ireland;United Kingdom of Great Britain and Northern Ireland;United Kingdom of Great Britain and Northern Ireland;United Kingdom;United Kingdom;GBR;826;220;1;0;1;1;1;0;0;826;0;0;0
United States of America;United States of America;United States of America;USA;United States of America;USA;840;222;1;0;0;0;0;0;0;842;0;0;0
